!CSV A.01.01
!Keysight Technologies,M9372A,US54320226,A.12.60.01
!Date: Tuesday, October 15, 2024 15:06:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Real(U),S11 Log Mag(dB)
4770141000,16.535547,-4.086555
4815139500,15.654077,-4.068882
4860138000,14.686826,-3.9967182
4905136500,13.821034,-3.9061375
4950135000,13.222052,-3.8705587
4995133500,12.697219,-3.853657
5040132000,12.019775,-3.7545059
5085130500,11.613167,-3.7182102
5130129000,11.29807,-3.6969316
5175127500,11.002804,-3.6746533
5220126000,10.666487,-3.6201265
5265124500,10.426881,-3.5836072
5310123000,10.250836,-3.5591755
5355121500,10.15374,-3.5531964
5400120000,9.9258394,-3.4881449
5445118500,9.8864422,-3.4804556
5490117000,9.8457422,-3.4632583
5535115500,9.882719,-3.4641097
5580114000,9.8139992,-3.4178405
5625112500,9.9169931,-3.4243724
5670111000,10.014641,-3.417398
5715109500,10.172975,-3.422034
5760108000,10.303135,-3.4054072
5805106500,10.491418,-3.4013734
5850105000,10.703825,-3.3926284
5895103500,11.040889,-3.4074676
5940102000,11.285269,-3.3832479
5985100500,11.726123,-3.4091682
6030099000,12.161925,-3.4158812
6075097500,12.706924,-3.4299693
6120096000,13.281566,-3.4365463
6165094500,13.953891,-3.4580855
6210093000,14.800634,-3.4929006
6255091500,15.811104,-3.5323193
6300090000,16.778521,-3.5339599
6345088500,18.025311,-3.573349
6390087000,19.595814,-3.6289048
6435085500,21.442442,-3.6811769
6480084000,23.574406,-3.7367425
6525082500,26.034746,-3.7972326
6570081000,29.300377,-3.8951795
6615079500,32.994926,-3.9462209
6660078000,37.434101,-4.0501142
6705076500,42.821854,-4.1476374
6750075000,49.869484,-4.2693172
6795073500,58.049229,-4.3513122
6840072000,67.737885,-4.4575424
6885070500,79.805794,-4.6301351
6930069000,94.803749,-4.7840452
6975067500,111.42662,-4.9073033
7020066000,126.768,-5.0720692
7065064500,142.33395,-5.2637415
7110063000,153.66924,-5.463367
7155061500,157.71417,-5.6411123
7200060000,153.7711,-5.8453994
7245058500,142.11673,-6.1248465
7290057000,127.59092,-6.3429284
7335055500,112.44333,-6.5708618
7380054000,98.191956,-6.8518772
7425052500,85.179466,-7.1515036
7470051000,73.784744,-7.4140701
7515049500,64.822784,-7.6338558
7560048000,57.441074,-7.958456
7605046500,51.097939,-8.2535248
7650045000,45.714146,-8.4761076
7695043500,41.495007,-8.6928864
7740042000,37.938427,-8.9400883
7785040500,34.845634,-9.1247997
7830039000,32.232319,-9.1894588
7875037500,30.238316,-9.2862015
7920036000,28.574129,-9.3822374
7965034500,26.898438,-9.3055334
8010033000,25.594301,-9.1776915
8055031500,24.624723,-9.0651684
8100030000,23.853422,-8.9265003
8145028500,23.173401,-8.7102108
8190027000,22.626526,-8.4576664
8235025500,22.366007,-8.2474308
8280024000,22.168493,-7.9790306
8325022500,21.91897,-7.6399188
8370021000,21.984968,-7.3917923
8415019500,22.317444,-7.1654792
8460018000,22.468351,-6.8362799
8505016500,22.799601,-6.5452399
8550015000,23.379402,-6.3039832
8595013500,24.133472,-6.0602598
8640012000,24.914104,-5.7759614
8685010500,25.955376,-5.5546269
8730009000,27.200838,-5.3410606
8775007500,28.820164,-5.1129589
8820006000,30.726194,-4.9059253
8865004500,32.891426,-4.7071919
8910003000,35.667892,-4.5184059
8955001500,38.893494,-4.3413014
9000000000,43.149601,-4.1923161
END

