FREQ-GHZ  MAG[Z1]   IM[Z1]
 2.57000  332.144 -324.642
 2.57500  318.460 -311.779
 2.58000  305.818 -299.839
 2.58500  294.104 -288.728
 2.59000  283.220 -278.366
 2.59500  273.082 -268.681
 2.60000  263.614 -259.610
 2.60500  254.754 -251.098
 2.61000  246.444 -243.095
 2.61500  238.634 -235.558
 2.62000  231.281 -228.447
 2.62500  224.345 -221.726
 2.63000  217.792 -215.366
 2.63500  211.590 -209.338
 2.64000  205.713 -203.617
 2.64500  200.133 -198.179
 2.65000  194.831 -193.004
 2.65500  189.784 -188.073
 2.66000  184.975 -183.370
 2.66500  180.387 -178.878
 2.67000  176.005 -174.584
 2.67500  171.814 -170.475
 2.68000  167.804 -166.538
 2.68500  163.961 -162.764
 2.69000  160.275 -159.141
 2.69500  156.737 -155.661
 2.70000  153.338 -152.316
 2.70500  150.069 -149.097
 2.71000  146.923 -145.997
 2.71500  143.892 -143.010
 2.72000  140.972 -140.130
 2.72500  138.154 -137.349
 2.73000  135.434 -134.665
 2.73500  132.807 -132.070
 2.74000  130.268 -129.561
 2.74500  127.811 -127.134
 2.75000  125.434 -124.783
 2.75500  123.132 -122.506
 2.76000  120.901 -120.299
 2.76500  118.738 -118.159
 2.77000  116.640 -116.082
 2.77500  114.604 -114.066
 2.78000  112.627 -112.107
 2.78500  110.705 -110.203
 2.79000  108.838 -108.353
 2.79500  107.022 -106.553
 2.80000  105.255 -104.801
 2.80500  103.535 -103.095
 2.81000  101.860 -101.434
 2.81500  100.228  -99.815
 2.82000   98.638  -98.237
 2.82500   97.087  -96.698
 2.83000   95.575  -95.196
 2.83500   94.099  -93.731
 2.84000   92.658  -92.300
 2.84500   91.251  -90.903
 2.85000   89.877  -89.538
 2.85500   88.534  -88.203
 2.86000   87.221  -86.899
 2.86500   85.937  -85.623
 2.87000   84.682  -84.375
 2.87500   83.453  -83.153
 2.88000   82.250  -81.958
 2.88500   81.073  -80.787
 2.89000   79.919  -79.640
 2.89500   78.789  -78.516
 2.90000   77.682  -77.414
 2.90500   76.596  -76.335
 2.91000   75.532  -75.276
 2.91500   74.488  -74.237
 2.92000   73.464  -73.218
 2.92500   72.459  -72.218
 2.93000   71.473  -71.236
 2.93500   70.504  -70.272
 2.94000   69.553  -69.325
 2.94500   68.619  -68.395
 2.95000   67.701  -67.481
 2.95500   66.799  -66.582
 2.96000   65.912  -65.699
 2.96500   65.040  -64.831
 2.97000   64.183  -63.977
 2.97500   63.339  -63.137
 2.98000   62.510  -62.310
 2.98500   61.693  -61.496
 2.99000   60.889  -60.696
 2.99500   60.098  -59.907
 3.00000   59.319  -59.131

