FREQ-GHZ  MAG[Y1]   IM[Y1]
 2.81000    0.086   -0.086
 2.81500    0.085   -0.085
 2.82000    0.084   -0.084
 2.82500    0.083   -0.083
 2.83000    0.082   -0.081
 2.83500    0.080   -0.080
 2.84000    0.079   -0.079
 2.84500    0.078   -0.078
 2.85000    0.077   -0.077
 2.85500    0.076   -0.076
 2.86000    0.075   -0.075
 2.86500    0.074   -0.074
 2.87000    0.073   -0.073
 2.87500    0.072   -0.072
 2.88000    0.072   -0.071
 2.88500    0.071   -0.071
 2.89000    0.070   -0.070
 2.89500    0.069   -0.069
 2.90000    0.068   -0.068
 2.90500    0.067   -0.067
 2.91000    0.067   -0.067
 2.91500    0.066   -0.066
 2.92000    0.065   -0.065
 2.92500    0.064   -0.064
 2.93000    0.064   -0.064
 2.93500    0.063   -0.063
 2.94000    0.062   -0.062
 2.94500    0.062   -0.061
 2.95000    0.061   -0.061
 2.95500    0.060   -0.060
 2.96000    0.060   -0.060
 2.96500    0.059   -0.059
 2.97000    0.058   -0.058
 2.97500    0.058   -0.058
 2.98000    0.057   -0.057
 2.98500    0.057   -0.057
 2.99000    0.056   -0.056
 2.99500    0.055   -0.055
 3.00000    0.055   -0.055

